"","uid","ext_int","spec_glob","valence","block"
"459","subCA1_58",80,18,"neg","block1"
"460","subCA1_58",88,7,"pos","block1"
"461","subCA1_58",0,100,"neg","block2"
"462","subCA1_58",84,2,"pos","block2"
"463","subCA1_58",7,100,"neg","block3"
"464","subCA1_58",99,98,"pos","block3"
"465","subCA1_59",73,11,"neg","block0"
"466","subCA1_59",24,69,"pos","block0"
"467","subCA1_59",58,9,"neg","block1"
"468","subCA1_59",34,54,"pos","block1"
"469","subCA1_59",69,9,"neg","block2"
"470","subCA1_59",14,59,"pos","block2"
"471","subCA1_59",67,17,"neg","block3"
"472","subCA1_59",30,75,"pos","block3"
"473","subCA1_60",72,9,"neg","block0"
"474","subCA1_60",83,37,"pos","block0"
"475","subCA1_60",20,5,"neg","block1"
"476","subCA1_60",68,27,"pos","block1"
"477","subCA1_60",39,0,"neg","block2"
"478","subCA1_60",71,60,"pos","block2"
"479","subCA1_60",16,25,"neg","block3"
"480","subCA1_60",73,66,"pos","block3"
"481","subCA1_61",76,78,"neg","block0"
"482","subCA1_61",90,91,"pos","block0"
"483","subCA1_61",35,36,"neg","block1"
"484","subCA1_61",42,59,"pos","block1"
"485","subCA1_61",38,28,"neg","block2"
"486","subCA1_61",25,10,"pos","block2"
"487","subCA1_61",30,33,"neg","block3"
"488","subCA1_61",84,84,"pos","block3"
"489","subCA1_62",96,32,"neg","block0"
"490","subCA1_62",62,35,"pos","block0"
"491","subCA1_62",57,43,"neg","block1"
"492","subCA1_62",62,56,"pos","block1"
"493","subCA1_62",55,42,"neg","block2"
"494","subCA1_62",59,43,"pos","block2"
"495","subCA1_62",57,40,"neg","block3"
"496","subCA1_62",59,55,"pos","block3"
"497","subCA1_63",23,23,"neg","block0"
"498","subCA1_63",73,24,"pos","block0"
"499","subCA1_63",96,4,"neg","block1"
"500","subCA1_63",57,72,"pos","block1"
"501","subCA1_63",13,23,"neg","block2"
"502","subCA1_63",90,80,"pos","block2"
"503","subCA1_63",0,24,"neg","block3"
"504","subCA1_63",100,90,"pos","block3"
"505","subCA1_64",62,74,"neg","block0"
"506","subCA1_64",43,31,"pos","block0"
"507","subCA1_64",37,0,"neg","block1"
"508","subCA1_64",61,69,"pos","block1"
"509","subCA1_64",33,0,"neg","block2"
"510","subCA1_64",69,100,"pos","block2"
"511","subCA1_64",25,0,"neg","block3"
"512","subCA1_64",80,83,"pos","block3"
"513","subCA1_65",71,35,"neg","block0"
"514","subCA1_65",37,28,"pos","block0"
"515","subCA1_65",30,25,"neg","block1"
"516","subCA1_65",66,59,"pos","block1"
"517","subCA1_65",29,37,"neg","block2"
"518","subCA1_65",77,25,"pos","block2"
"519","subCA1_65",75,83,"neg","block3"
"520","subCA1_65",96,25,"pos","block3"
"521","subCA1_66",20,82,"neg","block0"
"522","subCA1_66",86,95,"pos","block0"
"523","subCA1_66",6,8,"neg","block1"
"524","subCA1_66",98,94,"pos","block1"
"525","subCA1_66",1,90,"neg","block2"
"526","subCA1_66",95,16,"pos","block2"
"527","subCA1_66",0,98,"neg","block3"
"528","subCA1_66",100,9,"pos","block3"
"529","subCA1_67",74,27,"neg","block0"
"530","subCA1_67",88,13,"pos","block0"
"531","subCA1_67",86,35,"neg","block1"
"532","subCA1_67",100,39,"pos","block1"
"533","subCA1_67",33,73,"neg","block2"
"534","subCA1_67",90,39,"pos","block2"
"535","subCA1_67",25,70,"neg","block3"
"536","subCA1_67",65,63,"pos","block3"
"537","subCA1_68",69,63,"neg","block0"
"538","subCA1_68",44,43,"pos","block0"
"539","subCA1_68",21,20,"neg","block1"
"540","subCA1_68",69,67,"pos","block1"
"541","subCA1_68",36,32,"neg","block2"
"542","subCA1_68",67,62,"pos","block2"
"543","subCA1_68",25,35,"neg","block3"
"544","subCA1_68",63,39,"pos","block3"
"545","subCA1_69",91,73,"neg","block0"
"546","subCA1_69",87,15,"pos","block0"
"547","subCA1_69",10,4,"neg","block1"
"548","subCA1_69",96,82,"pos","block1"
"549","subCA1_69",11,5,"neg","block2"
"550","subCA1_69",96,87,"pos","block2"
"551","subCA1_69",12,8,"neg","block3"
"552","subCA1_69",95,82,"pos","block3"
"553","subCA1_70",0,8,"neg","block0"
"554","subCA1_70",49,16,"pos","block0"
"555","subCA1_70",12,0,"neg","block1"
"556","subCA1_70",100,100,"pos","block1"
"557","subCA1_70",0,0,"neg","block2"
"558","subCA1_70",100,100,"pos","block2"
"559","subCA1_70",49,0,"neg","block3"
"560","subCA1_70",100,100,"pos","block3"
"561","subCA1_71",71,75,"neg","block0"
"562","subCA1_71",28,32,"pos","block0"
"563","subCA1_71",8,7,"neg","block1"
"564","subCA1_71",86,85,"pos","block1"
"565","subCA1_71",37,40,"neg","block2"
"566","subCA1_71",75,84,"pos","block2"
"567","subCA1_71",32,8,"neg","block3"
"568","subCA1_71",82,85,"pos","block3"
"569","subCA1_72",100,84,"neg","block0"
"570","subCA1_72",13,15,"pos","block0"
"571","subCA1_72",1,2,"neg","block1"
"572","subCA1_72",82,60,"pos","block1"
"573","subCA1_72",1,85,"neg","block2"
"574","subCA1_72",100,5,"pos","block2"
"575","subCA1_72",5,4,"neg","block3"
"576","subCA1_72",91,18,"pos","block3"
"577","subCA1_73",14,23,"neg","block0"
"578","subCA1_73",25,37,"pos","block0"
"579","subCA1_73",17,16,"neg","block1"
"580","subCA1_73",59,39,"pos","block1"
"581","subCA1_73",17,15,"neg","block2"
"582","subCA1_73",32,37,"pos","block2"
"583","subCA1_73",24,17,"neg","block3"
"584","subCA1_73",36,12,"pos","block3"
"585","subCA1_74",56,50,"neg","block0"
"586","subCA1_74",87,43,"pos","block0"
"587","subCA1_74",59,59,"neg","block1"
"588","subCA1_74",78,50,"pos","block1"
"589","subCA1_74",69,67,"neg","block2"
"590","subCA1_74",85,50,"pos","block2"
"591","subCA1_74",65,67,"neg","block3"
"592","subCA1_74",85,50,"pos","block3"
"593","subCA1_75",38,18,"neg","block0"
"594","subCA1_75",64,25,"pos","block0"
"595","subCA1_75",75,9,"neg","block1"
"596","subCA1_75",89,89,"pos","block1"
"597","subCA1_75",18,0,"neg","block2"
"598","subCA1_75",100,100,"pos","block2"
"599","subCA1_75",0,0,"neg","block3"
"600","subCA1_75",100,100,"pos","block3"
"601","subCA1_76",77,24,"neg","block0"
"602","subCA1_76",71,69,"pos","block0"
"603","subCA1_76",52,50,"neg","block1"
"604","subCA1_76",50,50,"pos","block1"
"605","subCA1_76",50,50,"neg","block2"
"606","subCA1_76",49,50,"pos","block2"
"607","subCA1_76",50,50,"neg","block3"
"608","subCA1_76",50,50,"pos","block3"
"609","subCA1_77",31,22,"neg","block0"
"610","subCA1_77",55,60,"pos","block0"
"611","subCA1_77",0,0,"neg","block1"
"612","subCA1_77",100,100,"pos","block1"
"613","subCA1_77",79,66,"neg","block2"
"614","subCA1_77",63,65,"pos","block2"
"615","subCA1_77",71,13,"neg","block3"
"616","subCA1_77",83,17,"pos","block3"
"617","subCA1_78",68,59,"neg","block0"
"618","subCA1_78",73,41,"pos","block0"
"619","subCA1_78",39,42,"neg","block1"
"620","subCA1_78",58,55,"pos","block1"
"621","subCA1_78",46,58,"neg","block2"
"622","subCA1_78",87,44,"pos","block2"
"623","subCA1_78",11,47,"neg","block3"
"624","subCA1_78",89,44,"pos","block3"
