"","uid","ext_int","spec_glob","valence","block"
"399","subCALEARN_50",35,23,"neg","block3"
"400","subCALEARN_50",58,72,"pos","block3"
"401","subCALEARN_51",1,0,"neg","block0"
"402","subCALEARN_51",0,0,"pos","block0"
"403","subCALEARN_51",50,0,"neg","block1"
"404","subCALEARN_51",100,100,"pos","block1"
"405","subCALEARN_51",16,0,"neg","block2"
"406","subCALEARN_51",100,100,"pos","block2"
"407","subCALEARN_51",0,0,"neg","block3"
"408","subCALEARN_51",100,100,"pos","block3"
"409","subCALEARN_52",44,19,"neg","block0"
"410","subCALEARN_52",77,19,"pos","block0"
"411","subCALEARN_52",89,21,"neg","block1"
"412","subCALEARN_52",89,4,"pos","block1"
"413","subCALEARN_52",13,10,"neg","block2"
"414","subCALEARN_52",87,41,"pos","block2"
"415","subCALEARN_52",90,90,"neg","block3"
"416","subCALEARN_52",91,34,"pos","block3"
"417","subCALEARN_53",0,100,"neg","block0"
"418","subCALEARN_53",100,0,"pos","block0"
"419","subCALEARN_53",50,0,"neg","block1"
"420","subCALEARN_53",100,100,"pos","block1"
"421","subCALEARN_53",0,50,"neg","block2"
"422","subCALEARN_53",100,69,"pos","block2"
"423","subCALEARN_53",0,0,"neg","block3"
"424","subCALEARN_53",100,100,"pos","block3"
"425","subCALEARN_54",79,36,"neg","block0"
"426","subCALEARN_54",64,37,"pos","block0"
"427","subCALEARN_54",30,61,"neg","block1"
"428","subCALEARN_54",67,42,"pos","block1"
"429","subCALEARN_54",36,46,"neg","block2"
"430","subCALEARN_54",68,55,"pos","block2"
"431","subCALEARN_54",39,60,"neg","block3"
"432","subCALEARN_54",64,43,"pos","block3"
"433","subCALEARN_55",0,0,"neg","block0"
"434","subCALEARN_55",67,14,"pos","block0"
"435","subCALEARN_55",84,8,"neg","block1"
"436","subCALEARN_55",95,95,"pos","block1"
"437","subCALEARN_55",63,7,"neg","block2"
"438","subCALEARN_55",100,100,"pos","block2"
"439","subCALEARN_55",0,0,"neg","block3"
"440","subCALEARN_55",100,33,"pos","block3"
"441","subCALEARN_56",78,0,"neg","block0"
"442","subCALEARN_56",1,100,"pos","block0"
"443","subCALEARN_56",0,0,"neg","block1"
"444","subCALEARN_56",0,0,"pos","block1"
"445","subCALEARN_56",2,0,"neg","block2"
"446","subCALEARN_56",100,100,"pos","block2"
"447","subCALEARN_56",0,0,"neg","block3"
"448","subCALEARN_56",100,100,"pos","block3"
"449","subCALEARN_57",3,4,"neg","block0"
"450","subCALEARN_57",79,3,"pos","block0"
"451","subCALEARN_57",97,4,"neg","block1"
"452","subCALEARN_57",94,23,"pos","block1"
"453","subCALEARN_57",5,72,"neg","block2"
"454","subCALEARN_57",96,77,"pos","block2"
"455","subCALEARN_57",3,9,"neg","block3"
"456","subCALEARN_57",98,93,"pos","block3"
"457","subCALEARN_58",30,0,"neg","block0"
"458","subCALEARN_58",44,0,"pos","block0"
"459","subCALEARN_58",76,20,"neg","block1"
"460","subCALEARN_58",66,20,"pos","block1"
"461","subCALEARN_58",64,16,"neg","block2"
"462","subCALEARN_58",84,88,"pos","block2"
"463","subCALEARN_58",15,11,"neg","block3"
"464","subCALEARN_58",62,70,"pos","block3"
"465","subCALEARN_59",37,59,"neg","block0"
"466","subCALEARN_59",69,68,"pos","block0"
"467","subCALEARN_59",69,66,"neg","block1"
"468","subCALEARN_59",28,32,"pos","block1"
"469","subCALEARN_59",11,21,"neg","block2"
"470","subCALEARN_59",77,68,"pos","block2"
"471","subCALEARN_59",29,56,"neg","block3"
"472","subCALEARN_59",68,71,"pos","block3"
"473","subCALEARN_60",26,72,"neg","block0"
"474","subCALEARN_60",75,72,"pos","block0"
"475","subCALEARN_60",0,30,"neg","block1"
"476","subCALEARN_60",100,61,"pos","block1"
"477","subCALEARN_60",12,6,"neg","block2"
"478","subCALEARN_60",89,73,"pos","block2"
"479","subCALEARN_60",23,3,"neg","block3"
"480","subCALEARN_60",79,100,"pos","block3"
"481","subCALEARN_61",38,67,"neg","block0"
"482","subCALEARN_61",95,67,"pos","block0"
"483","subCALEARN_61",21,5,"neg","block1"
"484","subCALEARN_61",84,23,"pos","block1"
"485","subCALEARN_61",34,2,"neg","block2"
"486","subCALEARN_61",79,58,"pos","block2"
"487","subCALEARN_61",38,6,"neg","block3"
"488","subCALEARN_61",58,62,"pos","block3"
"489","subCALEARN_62",31,30,"neg","block0"
"490","subCALEARN_62",71,37,"pos","block0"
"491","subCALEARN_62",73,72,"neg","block1"
"492","subCALEARN_62",92,81,"pos","block1"
"493","subCALEARN_62",72,21,"neg","block2"
"494","subCALEARN_62",84,91,"pos","block2"
"495","subCALEARN_62",77,28,"neg","block3"
"496","subCALEARN_62",100,73,"pos","block3"
"497","subCALEARN_63",75,44,"neg","block0"
"498","subCALEARN_63",32,26,"pos","block0"
"499","subCALEARN_63",74,26,"neg","block1"
"500","subCALEARN_63",76,59,"pos","block1"
"501","subCALEARN_63",39,42,"neg","block2"
"502","subCALEARN_63",39,63,"pos","block2"
"503","subCALEARN_63",13,20,"neg","block3"
"504","subCALEARN_63",82,80,"pos","block3"
"505","subCALEARN_64",0,100,"neg","block0"
"506","subCALEARN_64",100,0,"pos","block0"
"507","subCALEARN_64",51,100,"neg","block1"
"508","subCALEARN_64",100,100,"pos","block1"
"509","subCALEARN_64",0,13,"neg","block2"
"510","subCALEARN_64",100,52,"pos","block2"
"511","subCALEARN_64",0,0,"neg","block3"
"512","subCALEARN_64",100,77,"pos","block3"
"513","subCALEARN_65",0,17,"neg","block0"
"514","subCALEARN_65",31,74,"pos","block0"
"515","subCALEARN_65",85,14,"neg","block1"
"516","subCALEARN_65",88,76,"pos","block1"
"517","subCALEARN_65",0,0,"neg","block2"
"518","subCALEARN_65",100,21,"pos","block2"
"519","subCALEARN_65",0,13,"neg","block3"
"520","subCALEARN_65",100,76,"pos","block3"
"521","subCALEARN_66",37,61,"neg","block0"
"522","subCALEARN_66",24,27,"pos","block0"
"523","subCALEARN_66",22,24,"neg","block1"
"524","subCALEARN_66",76,77,"pos","block1"
"525","subCALEARN_66",32,29,"neg","block2"
"526","subCALEARN_66",71,69,"pos","block2"
"527","subCALEARN_66",40,40,"neg","block3"
"528","subCALEARN_66",63,67,"pos","block3"
"529","subCALEARN_67",14,39,"neg","block0"
"530","subCALEARN_67",31,65,"pos","block0"
"531","subCALEARN_67",56,57,"neg","block1"
"532","subCALEARN_67",57,58,"pos","block1"
"533","subCALEARN_67",61,61,"neg","block2"
"534","subCALEARN_67",65,64,"pos","block2"
"535","subCALEARN_67",21,42,"neg","block3"
"536","subCALEARN_67",61,59,"pos","block3"
"537","subCALEARN_68",31,2,"neg","block0"
"538","subCALEARN_68",51,62,"pos","block0"
"539","subCALEARN_68",100,27,"neg","block1"
"540","subCALEARN_68",87,16,"pos","block1"
"541","subCALEARN_68",100,80,"neg","block2"
"542","subCALEARN_68",100,71,"pos","block2"
"543","subCALEARN_68",21,10,"neg","block3"
"544","subCALEARN_68",12,35,"pos","block3"
"545","subCALEARN_69",62,15,"neg","block0"
"546","subCALEARN_69",80,12,"pos","block0"
"547","subCALEARN_69",24,37,"neg","block1"
"548","subCALEARN_69",62,41,"pos","block1"
"549","subCALEARN_69",9,13,"neg","block2"
"550","subCALEARN_69",100,15,"pos","block2"
"551","subCALEARN_69",0,71,"neg","block3"
"552","subCALEARN_69",98,25,"pos","block3"
"553","subCALEARN_70",0,100,"neg","block0"
"554","subCALEARN_70",100,0,"pos","block0"
"555","subCALEARN_70",100,0,"neg","block1"
"556","subCALEARN_70",58,85,"pos","block1"
"557","subCALEARN_70",0,88,"neg","block2"
"558","subCALEARN_70",100,93,"pos","block2"
"559","subCALEARN_70",0,0,"neg","block3"
"560","subCALEARN_70",100,100,"pos","block3"
"561","subCALEARN_71",0,100,"neg","block0"
"562","subCALEARN_71",100,0,"pos","block0"
"563","subCALEARN_71",100,0,"neg","block1"
"564","subCALEARN_71",100,100,"pos","block1"
"565","subCALEARN_71",0,100,"neg","block2"
"566","subCALEARN_71",100,100,"pos","block2"
"567","subCALEARN_71",0,0,"neg","block3"
"568","subCALEARN_71",100,100,"pos","block3"
"569","subCALEARN_72",76,61,"neg","block0"
"570","subCALEARN_72",30,43,"pos","block0"
"571","subCALEARN_72",68,6,"neg","block1"
"572","subCALEARN_72",94,82,"pos","block1"
"573","subCALEARN_72",7,22,"neg","block2"
"574","subCALEARN_72",95,86,"pos","block2"
"575","subCALEARN_72",0,3,"neg","block3"
"576","subCALEARN_72",94,71,"pos","block3"
"577","subCALEARN_73",0,93,"neg","block0"
"578","subCALEARN_73",100,10,"pos","block0"
